time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe
2025-09-25 00:00:00,113547.5,113629.5,113416.5,113625.5,432,2851,0,Hydra,M15
2025-09-25 00:15:00,113613.5,113631.5,113551.5,113620.5,567,3150,0,Hydra,M15
2025-09-25 00:30:00,113620.5,113620.5,113362.5,113382.5,384,3150,0,Hydra,M15
2025-09-25 00:45:00,113382.5,113587.5,113305.5,113377.5,737,3150,0,Hydra,M15
2025-09-25 01:00:00,113385.5,113700.5,113384.5,113677.5,1059,3150,0,Hydra,M15
2025-09-25 01:15:00,113683.5,113700.5,113508.5,113538.5,933,3150,0,Hydra,M15
2025-09-25 01:30:00,113536.5,113570.5,113407.5,113414.5,881,3050,0,Hydra,M15
2025-09-25 01:45:00,113400.5,113418.5,113285.5,113395.5,934,3150,0,Hydra,M15
2025-09-25 02:00:00,113395.5,113469.5,113367.5,113403.5,979,3150,0,Hydra,M15
2025-09-25 02:15:00,113401.5,113489.5,113246.5,113396.5,965,3050,0,Hydra,M15
2025-09-25 02:30:00,113396.5,113398.5,113243.5,113260.5,753,3050,0,Hydra,M15
2025-09-25 02:45:00,113258.5,113389.5,113234.5,113349.5,1143,3050,0,Hydra,M15
2025-09-25 03:00:00,113348.5,113559.5,113303.5,113513.5,902,2950,0,Hydra,M15
2025-09-25 03:15:00,113513.5,113514.5,113154.5,113159.5,920,3150,0,Hydra,M15
2025-09-25 03:30:00,113162.5,113352.5,113080.5,113244.5,1143,3050,0,Hydra,M15
2025-09-25 03:45:00,113246.5,113294.5,112990.5,113090.5,1261,3150,0,Hydra,M15
2025-09-25 04:00:00,113075.5,113402.5,112948.5,113303.5,1604,2850,0,Hydra,M15
2025-09-25 04:15:00,113302.5,113339.5,113045.5,113106.5,1611,3050,0,Hydra,M15
2025-09-25 04:30:00,113106.5,113109.5,112660.5,112723.5,1889,3050,0,Hydra,M15
2025-09-25 04:45:00,112719.5,112844.5,112471.5,112695.5,1791,3050,0,Hydra,M15
2025-09-25 05:00:00,112695.5,112931.5,112658.5,112694.5,1523,2850,0,Hydra,M15
2025-09-25 05:15:00,112693.5,112819.5,112533.5,112768.5,1533,3150,0,Hydra,M15
2025-09-25 05:30:00,112770.5,113208.5,112758.5,112921.5,1641,3150,0,Hydra,M15
2025-09-25 05:45:00,112922.5,113062.5,112856.5,112918.5,1483,3050,0,Hydra,M15
2025-09-25 06:00:00,112918.5,112919.5,112732.5,112758.5,1164,3150,0,Hydra,M15
2025-09-25 06:15:00,112758.5,112796.5,112336.5,112368.5,1576,3150,0,Hydra,M15
2025-09-25 06:30:00,112370.5,112553.5,112227.5,112441.5,1960,2850,0,Hydra,M15
2025-09-25 06:45:00,112441.5,112625.5,112371.5,112557.5,1600,3150,0,Hydra,M15
2025-09-25 07:00:00,112541.5,112629.5,112215.5,112294.5,1461,3150,0,Hydra,M15
2025-09-25 07:15:00,112293.5,112311.5,111690.5,111946.5,2110,3050,0,Hydra,M15
2025-09-25 07:30:00,111945.5,111946.5,111655.5,111893.5,1866,2950,0,Hydra,M15
2025-09-25 07:45:00,111893.5,111921.5,111587.5,111735.5,1820,2850,0,Hydra,M15
