time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe
2026-01-06 22:54:00,92488.89,92533.85,92487.21,92533.75,236,2250,0,Taipan,M1
2026-01-06 22:55:00,92533.24,92554.81,92527.33,92527.33,239,2250,0,Taipan,M1
2026-01-06 22:56:00,92527.57,92532.99,92521.55,92527.08,234,2250,0,Taipan,M1
2026-01-06 22:57:00,92526.69,92527.36,92512.03,92512.76,241,2250,0,Taipan,M1
2026-01-06 22:58:00,92512.85,92519.57,92496.69,92504.06,238,2250,0,Taipan,M1
2026-01-06 22:59:00,92504.13,92506.68,92476.49,92494.39,231,2250,0,Taipan,M1
2026-01-06 23:00:00,92493.87,92520.64,92480.98,92481.15,239,2250,0,Taipan,M1
2026-01-06 23:01:00,92481.17,92499.26,92456.47,92499.13,238,2250,0,Taipan,M1
2026-01-06 23:02:00,92499.02,92553.13,92498.35,92504.89,242,2250,0,Taipan,M1
2026-01-06 23:03:00,92505.55,92505.55,92411.97,92450.99,233,2250,0,Taipan,M1
2026-01-06 23:04:00,92450.64,92451.21,92392.51,92398.82,239,2250,0,Taipan,M1
2026-01-06 23:05:00,92399.03,92415.6,92381.69,92398.34,238,2250,0,Taipan,M1
2026-01-06 23:06:00,92411.93,92431.15,92368.45,92408.93,235,2250,0,Taipan,M1
2026-01-06 23:07:00,92408.99,92419.29,92406.0,92417.43,239,2250,0,Taipan,M1
2026-01-06 23:08:00,92417.49,92417.96,92360.68,92377.97,240,2250,0,Taipan,M1
2026-01-06 23:09:00,92377.71,92382.89,92368.79,92372.61,236,2250,0,Taipan,M1
2026-01-06 23:10:00,92372.89,92415.19,92372.27,92401.39,243,2250,0,Taipan,M1
2026-01-06 23:11:00,92401.67,92580.99,92377.22,92580.99,239,2250,0,Taipan,M1
2026-01-06 23:12:00,92581.09,92780.55,92581.09,92707.35,236,2250,0,Taipan,M1
2026-01-06 23:13:00,92707.13,92846.59,92707.13,92843.83,234,2250,0,Taipan,M1
2026-01-06 23:14:00,92843.59,92896.81,92843.59,92884.89,235,2250,0,Taipan,M1
2026-01-06 23:15:00,92878.46,93464.48,92860.63,93430.57,238,2250,0,Taipan,M1
2026-01-06 23:16:00,93407.55,93622.23,93407.55,93607.52,236,2250,0,Taipan,M1
2026-01-06 23:17:00,93607.49,93833.8,93592.05,93813.65,237,2250,0,Taipan,M1
2026-01-06 23:18:00,93813.95,93822.75,93574.41,93640.62,236,2250,0,Taipan,M1
2026-01-06 23:19:00,93640.15,93704.53,93525.15,93704.53,229,2250,0,Taipan,M1
2026-01-06 23:20:00,93704.61,93739.99,93524.25,93530.69,238,2250,0,Taipan,M1
2026-01-06 23:21:00,93530.67,93575.91,93383.65,93453.01,236,2250,0,Taipan,M1
2026-01-06 23:22:00,93453.19,93564.97,93416.55,93564.97,239,2250,0,Taipan,M1
