time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe
2025-09-25 00:00:00,113547.5,113631.5,113305.5,113377.5,2120,2851,0,Hydra,H1
2025-09-25 01:00:00,113385.5,113700.5,113285.5,113395.5,3807,3050,0,Hydra,H1
2025-09-25 02:00:00,113395.5,113489.5,113234.5,113349.5,3840,3050,0,Hydra,H1
2025-09-25 03:00:00,113348.5,113559.5,112990.5,113090.5,4226,2950,0,Hydra,H1
2025-09-25 04:00:00,113075.5,113402.5,112471.5,112695.5,6895,2850,0,Hydra,H1
2025-09-25 05:00:00,112695.5,113208.5,112533.5,112918.5,6180,2850,0,Hydra,H1
2025-09-25 06:00:00,112918.5,112919.5,112227.5,112557.5,6300,2850,0,Hydra,H1
2025-09-25 07:00:00,112541.5,112629.5,111587.5,111735.5,7257,2850,0,Hydra,H1
2025-09-25 08:00:00,111735.5,112052.5,111597.5,111752.5,4698,2850,0,Hydra,H1
2025-09-25 09:00:00,111745.5,111874.5,111512.5,111550.5,5081,3050,0,Hydra,H1
2025-09-25 10:00:00,111551.5,111903.5,111458.5,111787.5,5151,2850,0,Hydra,H1
2025-09-25 11:00:00,111788.5,112070.5,111700.5,111748.5,4561,3150,0,Hydra,H1
2025-09-25 12:00:00,111736.5,112285.5,111562.5,111573.5,4217,2850,0,Hydra,H1
2025-09-25 13:00:00,111574.5,111886.5,111524.5,111675.5,3296,2850,0,Hydra,H1
2025-09-25 14:00:00,111673.5,111748.5,111276.5,111360.5,4997,2950,0,Hydra,H1
2025-09-25 15:00:00,111359.5,111692.5,110990.5,111130.5,7072,2850,0,Hydra,H1
2025-09-25 16:00:00,111131.5,111752.5,110603.5,111013.5,9027,2850,0,Hydra,H1
2025-09-25 17:00:00,111023.5,111784.5,110973.5,111577.5,7701,2950,0,Hydra,H1
2025-09-25 18:00:00,111572.5,111656.5,110893.5,111652.5,6536,2850,0,Hydra,H1
2025-09-25 19:00:00,111652.5,111744.5,110931.5,110985.5,6560,2850,0,Hydra,H1
2025-09-25 20:00:00,110986.5,111013.5,108649.5,108859.5,8227,2850,0,Hydra,H1
2025-09-25 21:00:00,108853.5,109847.5,108636.5,109798.5,7826,2850,0,Hydra,H1
2025-09-25 22:00:00,109798.5,110019.5,109331.5,109398.5,4635,2850,0,Hydra,H1
2025-09-25 23:00:00,109400.5,109532.5,109084.5,109143.5,5817,2850,0,Hydra,H1
2025-09-26 00:00:00,109206.5,109715.5,109089.5,109450.5,3721,2850,0,Hydra,H1
2025-09-26 01:00:00,109448.5,109641.5,109294.5,109477.5,4044,3150,0,Hydra,H1
2025-09-26 02:00:00,109479.5,109738.5,108799.5,109039.5,6306,2850,0,Hydra,H1
2025-09-26 03:00:00,109038.5,109659.5,108849.5,109523.5,7451,2850,0,Hydra,H1
2025-09-26 04:00:00,109523.5,109822.5,109341.5,109731.5,6461,2850,0,Hydra,H1
2025-09-26 05:00:00,109733.5,109859.5,109522.5,109677.5,4837,2850,0,Hydra,H1
2025-09-26 06:00:00,109679.5,109693.5,109339.5,109628.5,4561,2950,0,Hydra,H1
2025-09-26 07:00:00,109628.5,109696.5,109292.5,109403.5,3592,3050,0,Hydra,H1
2025-09-26 08:00:00,109404.5,109643.5,109128.5,109301.5,3682,2850,0,Hydra,H1
2025-09-26 09:00:00,109302.5,109680.5,109052.5,109410.5,5619,2850,0,Hydra,H1
2025-09-26 10:00:00,109414.5,109656.5,108976.5,109380.5,5540,2850,0,Hydra,H1
2025-09-26 11:00:00,109376.5,109679.5,109357.5,109628.5,4475,2950,0,Hydra,H1
2025-09-26 12:00:00,109627.5,109771.5,109456.5,109619.5,4347,2850,0,Hydra,H1
2025-09-26 13:00:00,109620.5,109636.5,108746.5,108939.5,6183,2850,0,Hydra,H1
2025-09-26 14:00:00,108938.5,109265.5,108647.5,109169.5,5986,2850,0,Hydra,H1
2025-09-26 15:00:00,109167.5,109632.5,108857.5,109417.5,6990,2950,0,Hydra,H1
2025-09-26 16:00:00,109428.5,109832.5,109039.5,109698.5,8323,2850,0,Hydra,H1
2025-09-26 17:00:00,109707.5,109822.5,108791.5,108879.5,9305,2850,0,Hydra,H1
2025-09-26 18:00:00,108873.5,109402.5,108818.5,109053.5,6998,2850,0,Hydra,H1
2025-09-26 19:00:00,109053.5,109673.5,109042.5,109470.5,5355,2950,0,Hydra,H1
2025-09-26 20:00:00,109456.5,110054.5,109397.5,109950.5,6779,2850,0,Hydra,H1
2025-09-26 21:00:00,109950.5,110364.5,109740.5,109762.5,6232,2850,0,Hydra,H1
2025-09-26 22:00:00,109744.5,109778.5,109065.5,109207.5,6163,2850,0,Hydra,H1
2025-09-26 23:00:00,109205.5,109411.5,109129.5,109362.5,4666,3050,0,Hydra,H1
2025-09-27 00:00:00,109341.5,109517.49,109176.52,109456.57,301,2851,0,Hydra,H1
2025-09-27 01:00:00,109456.57,109665.5,109255.5,109607.5,2866,2850,0,Hydra,H1
2025-09-27 02:00:00,109607.5,109736.5,109466.5,109692.5,2222,3050,0,Hydra,H1
2025-09-27 03:00:00,109696.5,109721.5,109514.5,109700.5,2871,3150,0,Hydra,H1
2025-09-27 04:00:00,109700.5,109726.5,109377.5,109487.5,3067,3150,0,Hydra,H1
2025-09-27 05:00:00,109487.5,109543.5,109361.5,109473.5,2657,2850,0,Hydra,H1
2025-09-27 06:00:00,109473.5,109784.5,109439.5,109610.5,3475,2850,0,Hydra,H1
2025-09-27 07:00:00,109605.5,109788.5,109560.5,109714.5,3715,2950,0,Hydra,H1
2025-09-27 08:00:00,109713.5,109744.5,109636.5,109670.5,2173,2950,0,Hydra,H1
2025-09-27 09:00:00,109670.5,109679.5,109516.5,109583.5,2167,2850,0,Hydra,H1
2025-09-27 10:00:00,109585.5,109614.5,109364.5,109445.5,2166,3150,0,Hydra,H1
2025-09-27 11:00:00,109443.5,109443.5,109288.5,109298.5,2738,2950,0,Hydra,H1
2025-09-27 12:00:00,109298.5,109397.5,109106.5,109339.5,3033,2850,0,Hydra,H1
2025-09-27 13:00:00,109338.5,109535.5,109286.5,109467.5,2933,3150,0,Hydra,H1
