timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-30T00:04:23.025632+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,820.6216364374441,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,66745.96,64988.68,65889.16,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:09:23.378497+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,820.6216364374441,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,66745.96,64988.68,65904.32,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:14:23.682450+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,820.6216364374441,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,66745.96,64988.68,65910.3,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:19:24.015799+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,820.6216364374441,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,66745.96,64988.68,66390.1,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:24:24.599286+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,841.7987792945867,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,67042.44,64988.68,66666.25,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:29:24.957586+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,841.7987792945867,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,67042.44,64988.68,66596.64,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:34:25.308359+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,841.7987792945867,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,67042.44,64988.68,66487.02,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:39:25.624411+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,841.7987792945867,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,67042.44,64988.68,66344.02,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:44:25.955897+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,841.7987792945867,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,67042.44,64988.68,66287.06,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:49:26.269370+00:00,BTCUSD,anaconda,144389,H4,HOLD,HOLD,NONE,0,841.7987792945867,0,,,,,,,,,,,,,,,,22.0,22.0,66603.27,67042.44,64988.68,66322.12,68482.80488016702,69342.85934893013,860.0544687631045,39.73927650138178,67119.23,66270.04,4,,,,,,,,,,,,,,,,,,,,,,,,no_breakout
2026-03-30T00:49:26.296999+00:00,EURUSD,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.0031314670844017883,0,,,,,,,,,,,,,,,,3e-05,3e-05,1.1502,1.15127,1.14873,1.15075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-30T00:49:26.324762+00:00,USDJPY,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.39139402638900944,0,,,,,,,,,,,,,,,,0.006,0.006,160.14,160.462,159.891,159.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
