timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-26T00:26:40.099742+00:00,EURUSD,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.003716939680600799,0,,,,,,,,,,,,,,,,1e-05,1e-05,1.15595,1.15647,1.15558,1.15617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T00:26:40.147475+00:00,USDJPY,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.4222636952952917,0,,,,,,,,,,,,,,,,0.004,0.004,159.462,159.466,159.333,159.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T01:16:40.354344+00:00,EURUSD,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.0037390825377436425,0,,,,,,,,,,,,,,,,3e-05,3e-05,1.15595,1.1565699999999999,1.15537,1.15618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T01:16:40.385514+00:00,USDJPY,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.42554940958100546,0,,,,,,,,,,,,,,,,0.001,0.001,159.462,159.512,159.333,159.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T02:06:40.585766+00:00,EURUSD,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.0034935356678998156,0,,,,,,,,,,,,,,,,1e-05,1e-05,1.15642,1.15652,1.15633,1.15651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T02:06:40.617605+00:00,USDJPY,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.39843873239916067,0,,,,,,,,,,,,,,,,0.001,0.001,159.479,159.498,159.452,159.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T02:56:40.831467+00:00,EURUSD,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.003558535667899829,0,,,,,,,,,,,,,,,,4e-05,4e-05,1.15642,1.15656,1.15546,1.15587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T02:56:40.865476+00:00,USDJPY,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.40229587525630367,0,,,,,,,,,,,,,,,,0.001,0.001,159.479,159.535,159.435,159.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T03:46:41.074753+00:00,EURUSD,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.0035856785250426896,0,,,,,,,,,,,,,,,,1e-05,1e-05,1.15642,1.15694,1.15546,1.15668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T03:46:41.134480+00:00,USDJPY,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.4038673038277316,0,,,,,,,,,,,,,,,,0.001,0.001,159.479,159.535,159.413,159.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T04:36:41.339498+00:00,EURUSD,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.0036063928107569684,0,,,,,,,,,,,,,,,,1e-05,1e-05,1.15642,1.15723,1.15546,1.1571500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26T04:36:41.363020+00:00,USDJPY,anaconda,144389,H4,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.40672444668487595,0,,,,,,,,,,,,,,,,0.001,0.001,159.479,159.535,159.373,159.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
