trades,win_rate,avg_r,total_r,profit_factor,max_drawdown_r,avg_bars_held,asset,signal,dir_filters,bool_filters,variant
20,0.85,0.7,14.0,5.666666666666667,-1.0,1.75,XAU,rsi_reversal_30_70,m5_trend,london_ny,rsi_reversal_30_70|dir=m5_trend|bool=london_ny
32,0.84375,0.6975993544339778,22.32317934188729,5.773152740668829,-2.0,2.1875,XAU,rsi_reversal_30_70,"m5_trend,h1_trend",none,rsi_reversal_30_70|dir=m5_trend+h1_trend|bool=none
54,0.8333333333333334,0.672651469294209,36.32317934188729,5.186231428896205,-1.6768206581127116,2.2222222222222223,XAU,rsi_reversal_30_70,m5_trend,none,rsi_reversal_30_70|dir=m5_trend|bool=none
201,0.7512437810945274,0.5109274586177226,102.69641918216224,3.1371242098692345,-5.0,2.6666666666666665,XAU,bb_rsi_combo,m5_trend,none,bb_rsi_combo|dir=m5_trend|bool=none
147,0.7346938775510204,0.4809280216473622,70.69641918216224,2.9079523173328505,-7.0,2.8503401360544216,XAU,bb_rsi_combo,"m5_trend,h1_trend",none,bb_rsi_combo|dir=m5_trend+h1_trend|bool=none
74,0.6891891891891891,0.3749996727444466,27.74997578308905,2.206520686221263,-4.0,2.527027027027027,XAU,bb_rsi_combo,m5_trend,london_ny,bb_rsi_combo|dir=m5_trend|bool=london_ny
1280,0.6390625,0.2738135501542919,350.4813441974936,1.7667384538734208,-8.987973765457525,3.06171875,XAU,stoch_reversal,"m5_trend,h1_trend",none,stoch_reversal|dir=m5_trend+h1_trend|bool=none
2000,0.6305,0.25980322642434067,519.6064528486813,1.7180385725487584,-7.0,3.0935,XAU,stoch_reversal,m5_trend,none,stoch_reversal|dir=m5_trend|bool=none
1170,0.6017094017094017,0.20235424537536315,236.75446708917488,1.5182957213677655,-9.0,3.0547008547008545,XAU,cci_reversal,m5_trend,london_ny,cci_reversal|dir=m5_trend|bool=london_ny
1769,0.6014697569248163,0.20319260765420794,359.44772294029383,1.5215571365527825,-10.0,3.1124929338609384,XAU,cci_reversal,"m5_trend,h1_trend",none,cci_reversal|dir=m5_trend+h1_trend|bool=none
823,0.5978128797083839,0.19525951998322616,160.69858494619513,1.4970261585279014,-8.799951103951017,3.154313487241798,XAU,stoch_reversal,m5_trend,london_ny,stoch_reversal|dir=m5_trend|bool=london_ny
2757,0.5919477693144722,0.18198437888594718,501.73093258855636,1.4546656260447497,-11.377881341986836,3.090678273485673,XAU,cci_reversal,m5_trend,none,cci_reversal|dir=m5_trend|bool=none
597,0.5678391959798995,0.1348948212697394,80.53220829803442,1.3186245199980315,-14.0,2.976549413735343,XAU,ema_trend_pullback,"m5_trend,h1_trend","h1_strong,london_ny",ema_trend_pullback|dir=m5_trend+h1_trend|bool=h1_strong+london_ny
566,0.558303886925795,0.11365038857622882,64.32611993414551,1.260857142145069,-13.436116721325433,3.0159010600706715,XAU,rsi_reversal_30_70,h1_rsi,none,rsi_reversal_30_70|dir=h1_rsi|bool=none
863,0.5527230590961761,0.10018230770343094,86.45733154806089,1.2267744966125322,-17.99304186723576,3.0718424101969872,XAU,rsi_reversal_30_70,h1_trend,none,rsi_reversal_30_70|dir=h1_trend|bool=none
640,0.5515625,0.10200660888982291,65.28422968948666,1.229605106213572,-12.0,2.9515625,XAU,stoch_reversal,h1_trend,"h1_range,london_ny",stoch_reversal|dir=h1_trend|bool=h1_range+london_ny
902,0.549889135254989,0.10064651468713412,90.78315624779498,1.2268967029921845,-14.028382296842395,2.8802660753880267,XAU,bb_rsi_combo,h1_rsi,none,bb_rsi_combo|dir=h1_rsi|bool=none
2348,0.5494037478705281,0.09927963058149604,233.1085726053527,1.2229174690990698,-19.488702371154588,2.906303236797274,XAU,stoch_reversal,h1_rsi,none,stoch_reversal|dir=h1_rsi|bool=none
825,0.5490909090909091,0.09188447307967902,75.8046902907352,1.2068300509135452,-19.041545785556732,3.1454545454545455,XAU,ema_trend_pullback,"m5_trend,h1_trend","high_vol,london_ny",ema_trend_pullback|dir=m5_trend+h1_trend|bool=high_vol+london_ny
3607,0.548655392292764,0.09683754666151213,349.29303080807426,1.216834476980244,-23.488702371154588,2.9409481563626283,XAU,stoch_reversal,h1_trend,none,stoch_reversal|dir=h1_trend|bool=none
2716,0.5471281296023565,0.09115607267059905,247.57989337334703,1.2053146817729834,-20.735627478458213,3.179307805596465,XAU,cci_reversal,h1_rsi,none,cci_reversal|dir=h1_rsi|bool=none
4103,0.5413112356812089,0.07905808643398536,324.3753286386419,1.175378525949394,-22.514688005182336,3.163782598098952,XAU,cci_reversal,h1_trend,none,cci_reversal|dir=h1_trend|bool=none
