trades,win_rate,avg_r,total_r,profit_factor,max_drawdown_r,avg_bars_held,asset,signal,dir_filters,bool_filters,variant
73,0.7808219178082192,0.5182707041930268,37.83376140609096,3.738361525772654,-3.0,2.9178082191780823,BTC,rsi_reversal_30_70,"h1_trend,h4_trend","high_vol,us_eu",rsi_reversal_30_70|dir=h1_trend+h4_trend|bool=high_vol+us_eu
151,0.7549668874172185,0.48561212327598335,73.32743061467349,3.2742006081553257,-4.736493787906234,3.0397350993377485,BTC,rsi_reversal_30_70,h1_trend,high_vol,rsi_reversal_30_70|dir=h1_trend|bool=high_vol
85,0.7529411764705882,0.46037155744080366,39.13158238246831,3.0796746478638752,-4.0,2.8705882352941177,BTC,rsi_reversal_30_70,"h1_trend,h4_trend",us_eu,rsi_reversal_30_70|dir=h1_trend+h4_trend|bool=us_eu
250,0.696,0.3774509394061195,94.36273485152988,2.4089386276840243,-8.108081691963626,3.004,BTC,bb_rsi_combo,h1_trend,high_vol,bb_rsi_combo|dir=h1_trend|bool=high_vol
207,0.6956521739130435,0.3723936544388995,77.0854864688522,2.3403325654757046,-4.0,2.9903381642512077,BTC,rsi_reversal_30_70,"h1_trend,h4_trend",none,rsi_reversal_30_70|dir=h1_trend+h4_trend|bool=none
151,0.695364238410596,0.3888597838798768,58.717827365861396,2.425235582641056,-3.723494248209711,2.827814569536424,BTC,rsi_reversal_30_70,h1_rsi,none,rsi_reversal_30_70|dir=h1_rsi|bool=none
262,0.6908396946564885,0.3619272969590411,94.82495180326876,2.2690374257158363,-4.209741699938846,2.9389312977099236,BTC,rsi_reversal_30_70,h1_trend,none,rsi_reversal_30_70|dir=h1_trend|bool=none
129,0.689922480620155,0.3802587718283466,49.05338156585671,2.375300390309624,-6.10808169196363,2.806201550387597,BTC,bb_rsi_combo,"h1_trend,h4_trend","high_vol,us_eu",bb_rsi_combo|dir=h1_trend+h4_trend|bool=high_vol+us_eu
210,0.680952380952381,0.3509543821705479,73.70042025581506,2.1760568770015745,-7.108081691963626,2.7285714285714286,BTC,bb_rsi_combo,"h1_trend,h4_trend",us_eu,bb_rsi_combo|dir=h1_trend+h4_trend|bool=us_eu
382,0.6675392670157068,0.32740381301561305,125.06825657196418,2.073927968070179,-6.951986751352621,2.9842931937172774,BTC,stoch_reversal,"h1_trend,h4_trend","high_vol,us_eu",stoch_reversal|dir=h1_trend+h4_trend|bool=high_vol+us_eu
647,0.6445131375579598,0.2774830070718393,179.53150557548005,1.8353727151813775,-10.270979552070969,2.885625965996909,BTC,bb_rsi_combo,h1_trend,none,bb_rsi_combo|dir=h1_trend|bool=none
500,0.64,0.26948331263948305,134.74165631974154,1.7993639592875723,-11.061237852132123,2.906,BTC,bb_rsi_combo,"h1_trend,h4_trend",none,bb_rsi_combo|dir=h1_trend+h4_trend|bool=none
373,0.6380697050938338,0.2792577370878087,104.16313593375266,1.8384252239582322,-8.0,2.8176943699731902,BTC,bb_rsi_combo,h1_rsi,none,bb_rsi_combo|dir=h1_rsi|bool=none
828,0.6280193236714976,0.254101645703879,210.39616264281182,1.7645676268560793,-8.305647115265401,3.117149758454106,BTC,stoch_reversal,h1_trend,high_vol,stoch_reversal|dir=h1_trend|bool=high_vol
542,0.6236162361623616,0.24633589837449293,133.51405691897517,1.7193686383668112,-8.0,2.918819188191882,BTC,cci_reversal,"h1_trend,h4_trend","high_vol,us_eu",cci_reversal|dir=h1_trend+h4_trend|bool=high_vol+us_eu
866,0.6177829099307159,0.22592530514258197,195.651314253476,1.6265051298933735,-15.010018386098437,2.8371824480369514,BTC,stoch_reversal,"h1_trend,h4_trend",us_eu,stoch_reversal|dir=h1_trend+h4_trend|bool=us_eu
2844,0.6009142053445851,0.19848492737383203,564.4911334511783,1.5350384472449319,-11.779617934454677,2.9068213783403656,BTC,stoch_reversal,h1_trend,none,stoch_reversal|dir=h1_trend|bool=none
2246,0.6006233303650935,0.19835130418075636,445.4970291899788,1.5354616009823834,-13.150775754736856,2.9505788067675867,BTC,stoch_reversal,"h1_trend,h4_trend",none,stoch_reversal|dir=h1_trend+h4_trend|bool=none
1789,0.6003353828954723,0.20052788757617793,358.7443908737823,1.546050325434167,-16.065480124705857,2.9586361095584124,BTC,stoch_reversal,h1_rsi,none,stoch_reversal|dir=h1_rsi|bool=none
