timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-11T00:01:14.748337+00:00,USDJPY.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.03963774870231145,0,,,,,,,,,,,,,,,,0.024,0.024,158.097,158.097,158.054,158.068,,,,46.09678254785466,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:01:14.750182+00:00,EURUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.00021783972203750433,0,,,,,,,,,,,,,,,,0.00019,0.00019,1.16105,1.16125,1.16105,1.16106,,,,56.92702909774216,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:01:14.752216+00:00,XAUUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,4.824249247452418,0,,,,,,,,,,,,,,,,0.32,0.32,5197.21,5198.2,5195.66,5195.73,,,,52.84260964999276,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:01:14.752752+00:00,USOUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.5328613457738253,0,,,,,,,,,,,,,,,,0.079,0.079,85.677,85.722,85.437,85.512,,,,37.69996922913326,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:02:58.040778+00:00,USDJPY.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.03963774870231145,0,,,,,,,,,,,,,,,,0.024,0.024,158.097,158.097,158.054,158.065,,,,45.67672361530131,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:02:58.041329+00:00,EURUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.00022283972203750537,0,,,,,,,,,,,,,,,,0.00018,0.00018,1.16105,1.16125,1.16098,1.16104,,,,56.20430312712389,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:02:58.042530+00:00,XAUUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,4.998534961738104,0,,,,,,,,,,,,,,,,0.34,0.34,5197.21,5198.2,5193.22,5193.23,,,,49.32878378209991,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:02:58.043222+00:00,USOUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.5382184886309683,0,,,,,,,,,,,,,,,,0.079,0.079,85.677,85.722,85.362,85.507,,,,37.6518017307778,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:04:41.289813+00:00,USDJPY.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.042066320130882295,0,,,,,,,,,,,,,,,,0.023,0.023,158.097,158.131,158.054,158.131,,,,55.66609965932459,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:04:41.290376+00:00,EURUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.00024926829346607547,0,,,,,,,,,,,,,,,,0.00019,0.00019,1.16105,1.16125,1.16061,1.16065,,,,45.05119179695508,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:04:41.290928+00:00,XAUUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,5.284249247452389,0,,,,,,,,,,,,,,,,0.29,0.29,5197.21,5198.2,5189.22,5189.78,,,,45.18261980849783,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:04:41.292807+00:00,USOUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.5382184886309683,0,,,,,,,,,,,,,,,,0.079,0.079,85.677,85.722,85.362,85.492,,,,37.508034912376985,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:06:24.527202+00:00,USDJPY.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.042377906402166536,0,,,,,,,,,,,,,,,,0.024,0.024,158.152,158.164,158.138,158.142,,,,56.531467525356696,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:06:24.527724+00:00,EURUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.00024360628004521678,0,,,,,,,,,,,,,,,,0.00019,0.00019,1.16064,1.16073,1.16056,1.1607,,,,46.570850326505074,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:06:24.528230+00:00,XAUUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,5.147874396120382,0,,,,,,,,,,,,,,,,0.28,0.28,5190.28,5191.03,5187.72,5190.37,,,,45.86919120219911,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T00:06:24.529556+00:00,USOUSD.s,viper,24847265,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.5196467766908901,0,,,,,,,,,,,,,,,,0.079,0.079,85.367,85.602,85.347,85.587,,,,39.749006995852795,,,,,,,,,,,,,,,,,,,,,,,,,,,
