timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-22T03:55:09.279618+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,121.71121654632088,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69309.52,69308.66,69309.23,,,,53.51737025344616,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.03,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:55:19.763136+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,121.71121654632088,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69309.52,69308.66,69308.68,,,,53.484061433716896,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.03,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:55:19.765479+00:00,XAUUSD,viper,144388,M5,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,11.147004802187999,0,,,,,,,,,,,,,,,,0.39,0.39,4503.38,4503.9,4494.66,4497.71,,,,38.06683169110966,,,,,,,,,,,,,,,,,,,,,SELL,,,,,35.04,breakout_not_broken;pullback_not_near_ema;momentum_volume_low
2026-03-22T03:55:30.293306+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,121.71407368917757,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69309.54,69308.64,69309.38,,,,53.52588943014133,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.03,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:55:40.872939+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,122.08764511774974,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69314.77,69308.64,69314.36,,,,53.80696398171518,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.03,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:55:51.361344+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,122.61978797489239,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69322.22,69308.64,69322.01,,,,54.2321733474439,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.03,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:56:01.834679+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,123.26407368917839,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69331.24,69308.64,69323.44,,,,54.31079000325939,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.03,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:56:12.331457+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69347.25,,,,55.58120157304756,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:56:22.772977+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69336.93,,,,55.03934578692446,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
2026-03-22T03:56:33.251363+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,124.42264511774991,0,,,,,,,,,,,,,,,,22.0,22.0,69308.74,69347.46,69308.64,69329.3,,,,54.630151959068,,,,,,,,,,,,,,69266.77413975028,,,,,,,SELL,,,,,24.11,breakout_not_broken;pullback_structure_not_confirmed;momentum_volume_low
