timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-31T07:29:09.992634+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,7.106195794871283,0,,,,,,,,,,,,,,,,0.45,0.43,4550.85,4556.56,4549.55,4555.58,,,,46.28884343267789,,,,,,,,,,,,,,4557.974652167283,,,,,,,BUY,,,,,17.98,pullback_structure_not_confirmed;momentum_volume_low
2026-03-31T07:29:20.613231+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,114.36294893814309,0,,,,,,,,,,,,,,,,22.0,22.0,67127.77,67299.54,67100.76,67292.36,,,,40.40502386901616,,,,,,,,,,,,,,67401.62715450439,,,,,,,BOTH,,,,,28.82,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:29:21.173095+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,7.106195794871283,0,,,,,,,,,,,,,,,,0.35,0.39,4550.85,4556.56,4549.55,4554.21,,,,44.84509329704814,,,,,,,,,,,,,,4557.8441759768075,,,,,,,BUY,,,,,17.98,pullback_structure_not_confirmed;momentum_volume_low
2026-03-31T07:29:31.806462+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,114.36294893814309,0,,,,,,,,,,,,,,,,22.0,22.0,67127.77,67299.54,67100.76,67286.66,,,,39.99276266139043,,,,,,,,,,,,,,67401.08429736154,,,,,,,BOTH,,,,,28.82,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:29:32.445700+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,7.106195794871283,0,,,,,,,,,,,,,,,,0.38,0.38,4550.85,4556.56,4549.55,4553.23,,,,43.7637860418026,,,,,,,,,,,,,,4557.750842643474,,,,,,,BUY,,,,,17.98,pullback_weak_candle;momentum_weak_candle
2026-03-31T07:29:43.117880+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,114.36294893814309,0,,,,,,,,,,,,,,,,22.0,22.0,67127.77,67299.54,67100.76,67280.66,,,,39.552596281557435,,,,,,,,,,,,,,67400.5128687901,,,,,,,BOTH,,,,,28.82,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:29:43.887634+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,7.106195794871283,0,,,,,,,,,,,,,,,,0.41,0.41,4550.85,4556.56,4549.55,4552.92,,,,43.41285778229386,,,,,,,,,,,,,,4557.72131883395,,,,,,,BUY,,,,,17.98,pullback_weak_candle;momentum_weak_candle
2026-03-31T07:29:54.591904+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,114.36294893814309,0,,,,,,,,,,,,,,,,22.0,22.0,67127.77,67299.54,67100.76,67285.34,,,,39.896476953883244,,,,,,,,,,,,,,67400.95858307582,,,,,,,BOTH,,,,,28.82,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:29:55.297660+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,7.106195794871283,0,,,,,,,,,,,,,,,,0.36,0.38,4550.85,4556.56,4549.55,4552.48,,,,42.90717897492527,,,,,,,,,,,,,,4557.679414072046,,,,,,,BUY,,,,,17.98,pullback_weak_candle;momentum_weak_candle
2026-03-31T07:30:06.026864+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,106.87558106697011,0,,,,,,,,,,,,,,,,22.0,22.0,67277.08,67281.2,67275.6,67281.02,,,,39.66784033937521,,,,,,,,,,,,,,67389.51862786444,,,,,,,BOTH,,,,,29.55,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:30:06.606067+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.680038645013667,0,,,,,,,,,,,,,,,,0.42,0.42,4551.93,4553.07,4551.93,4553.0,,,,43.58322211397271,,,,,,,,,,,,,,4557.20015011485,,,,,,,BUY,,,,,18.49,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:30:17.310756+00:00,BTCUSD,viper,144388,M5,HOLD,HOLD,NONE,0,107.11986678125571,0,,,,,,,,,,,,,,,,22.0,22.0,67277.08,67288.56,67275.6,67280.6,,,,39.646153893500376,,,,,,,,,,,,,,67389.47862786445,,,,,,,BOTH,,,,,29.55,pullback_not_near_ema;momentum_volume_low
2026-03-31T07:30:17.864110+00:00,XAUUSD,viper,144388,M5,HOLD,HOLD,NONE,0,6.720752930727997,0,,,,,,,,,,,,,,,,0.4,0.45,4551.93,4553.64,4551.93,4553.61,,,,44.31733998386831,,,,,,,,,,,,,,4557.258245352945,,,,,,,BUY,,,,,18.49,pullback_structure_not_confirmed;momentum_volume_low
