time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe,symbol
2009-02-27 10:00:00,942.5,944.6,940.4,944.5,702,0,0,Hydra,H1,XAUUSD
2009-02-27 11:00:00,944.4,946.7,943.2,945.1,442,0,0,Hydra,H1,XAUUSD
2009-02-27 12:00:00,945.2,947.5,944.6,947.2,501,0,0,Hydra,H1,XAUUSD
2009-02-27 13:00:00,947.1,953.7,946.7,953.7,686,0,0,Hydra,H1,XAUUSD
2009-02-27 14:00:00,953.6,962.6,951.6,959.7,1073,0,0,Hydra,H1,XAUUSD
2009-02-27 15:00:00,959.6,960.4,950.6,952.1,1011,0,0,Hydra,H1,XAUUSD
2009-02-27 16:00:00,952.0,955.1,949.0,949.8,1206,0,0,Hydra,H1,XAUUSD
2009-02-27 17:00:00,949.7,952.1,934.0,934.3,1304,0,0,Hydra,H1,XAUUSD
2009-02-27 18:00:00,934.1,942.0,927.5,941.1,1258,0,0,Hydra,H1,XAUUSD
2009-02-27 19:00:00,941.2,943.5,936.4,937.5,889,0,0,Hydra,H1,XAUUSD
2009-02-27 20:00:00,937.3,941.8,934.5,938.7,919,0,0,Hydra,H1,XAUUSD
2009-02-27 21:00:00,938.8,943.4,938.2,940.5,738,0,0,Hydra,H1,XAUUSD
2009-02-27 22:00:00,940.4,944.6,940.3,941.6,253,0,0,Hydra,H1,XAUUSD
2009-03-02 01:00:00,947.5,952.9,947.3,951.1,504,0,0,Hydra,H1,XAUUSD
2009-03-02 02:00:00,951.0,951.6,948.9,949.2,472,0,0,Hydra,H1,XAUUSD
2009-03-02 03:00:00,949.1,952.6,948.8,950.3,390,0,0,Hydra,H1,XAUUSD
2009-03-02 04:00:00,950.4,951.7,949.1,950.9,366,0,0,Hydra,H1,XAUUSD
2009-03-02 05:00:00,951.0,953.2,950.6,952.8,447,0,0,Hydra,H1,XAUUSD
2009-03-02 06:00:00,952.9,953.6,951.0,951.8,343,0,0,Hydra,H1,XAUUSD
2009-03-02 07:00:00,951.7,952.8,950.2,951.7,446,0,0,Hydra,H1,XAUUSD
2009-03-02 08:00:00,951.8,955.9,951.3,955.6,441,0,0,Hydra,H1,XAUUSD
2009-03-02 09:00:00,955.4,957.8,954.4,957.2,461,0,0,Hydra,H1,XAUUSD
2009-03-02 10:00:00,957.3,957.9,952.2,952.9,534,0,0,Hydra,H1,XAUUSD
2009-03-02 11:00:00,952.8,953.8,949.1,950.9,555,0,0,Hydra,H1,XAUUSD
2009-03-02 12:00:00,951.0,953.5,947.2,949.5,567,0,0,Hydra,H1,XAUUSD
2009-03-02 13:00:00,949.6,950.3,945.1,947.9,641,0,0,Hydra,H1,XAUUSD
2009-03-02 14:00:00,948.0,951.1,946.0,950.4,807,0,0,Hydra,H1,XAUUSD
2009-03-02 15:00:00,950.5,951.4,934.6,936.3,1200,0,0,Hydra,H1,XAUUSD
2009-03-02 16:00:00,936.5,940.2,930.8,932.6,1254,0,0,Hydra,H1,XAUUSD
2009-03-02 17:00:00,932.3,940.6,930.8,939.9,918,0,0,Hydra,H1,XAUUSD
2009-03-02 18:00:00,940.0,944.4,938.0,944.2,869,0,0,Hydra,H1,XAUUSD
2009-03-02 19:00:00,944.1,944.5,935.0,935.6,637,0,0,Hydra,H1,XAUUSD
2009-03-02 20:00:00,935.5,937.4,931.8,932.7,648,0,0,Hydra,H1,XAUUSD
2009-03-02 21:00:00,932.5,932.5,921.4,925.0,939,0,0,Hydra,H1,XAUUSD
2009-03-02 22:00:00,924.9,925.8,923.9,925.2,397,0,0,Hydra,H1,XAUUSD
2009-03-02 23:00:00,925.3,925.4,924.9,925.0,43,0,0,Hydra,H1,XAUUSD
2009-03-03 01:00:00,926.8,929.6,925.9,928.3,273,0,0,Hydra,H1,XAUUSD
2009-03-03 02:00:00,928.2,932.0,927.6,930.6,213,0,0,Hydra,H1,XAUUSD
2009-03-03 03:00:00,930.5,931.4,929.6,930.9,143,0,0,Hydra,H1,XAUUSD
2009-03-03 04:00:00,930.8,931.8,925.5,925.5,178,0,0,Hydra,H1,XAUUSD
2009-03-03 05:00:00,925.4,926.6,921.4,923.6,382,0,0,Hydra,H1,XAUUSD
2009-03-03 06:00:00,924.0,926.0,922.4,924.9,229,0,0,Hydra,H1,XAUUSD
2009-03-03 07:00:00,925.2,929.7,925.2,926.4,287,0,0,Hydra,H1,XAUUSD
2009-03-03 08:00:00,926.2,926.4,920.8,922.9,390,0,0,Hydra,H1,XAUUSD
