indicator,combined_rank,correlation,mutual_info,xgb_importance
m5_rsi,3.6666666666666665,0.08045723336145758,0.26949639648942236,13.696139335632324
h1_rsi,4.333333333333333,0.0985501856679287,0.16908647884398542,11.84166431427002
m5_macd_hist,5.0,0.043103375828680804,0.27177831923588824,10.635684967041016
h1_macd_hist,9.666666666666666,0.07038651267312007,0.16791572812857813,8.693504333496094
h1_adx,9.666666666666666,0.014978094095909788,0.16991006707981882,9.430423736572266
obv,14.333333333333334,0.01541025008454218,0.09218370623354222,8.73233699798584
bb_20_10_pctb,14.333333333333334,0.012742508992353246,0.11202821058773704,9.346231460571289
m5_adx,16.333333333333332,0.007873109850714115,0.2714362501539225,10.39830493927002
kc_position,17.666666666666668,0.01334800851866043,0.1101529320396808,7.811763763427734
h1_trend,20.666666666666668,0.08040936938077764,0.011233034247973173,65.50445556640625
vol_regime,21.333333333333332,0.0115643822129795,0.05662554173104262,8.653407096862793
bb_20_20_pctb,22.333333333333332,0.012742508770811262,0.11206724446069005,6.4114813804626465
donchian_20_width,22.333333333333332,0.007791018305287432,0.09873847590549678,9.120084762573242
m5_trend,22.666666666666668,0.06524478817147575,0.007053354641547216,31.55402946472168
roc_5,22.666666666666668,0.01702758701913595,0.03442527649547511,6.446686267852783
stoch_k_14,22.666666666666668,0.014543464069306315,0.03176284429212339,8.633925437927246
cci_20,23.0,0.012550068181101888,0.11103245247731675,6.431361675262451
williams_r_14,24.0,0.014543463978263747,0.03163924191727885,8.15895938873291
roc_20,26.333333333333332,0.006213175077276383,0.033863883192515765,9.982322692871094
cci_14,27.0,0.014096537120211599,0.1096861106328757,5.188501358032227
linreg_r2_50,27.666666666666668,0.00950695162902641,0.034544169602210406,7.989030361175537
plus_di_14,28.333333333333332,0.010739651255539218,0.08411979236744349,6.290804386138916
rsi_21,28.333333333333332,0.004080902302065151,0.03186660599140456,15.934130668640137
adx_14,28.666666666666668,0.01570658302770739,0.02814448097560751,7.111343860626221
di_diff,28.666666666666668,0.011138877329821774,0.062972539281835,6.106629371643066
mean_rev_score,30.333333333333332,0.006552840356821434,0.047637949032405924,6.944090366363525
rsi_7,30.666666666666668,0.010565670589010425,0.029349647473106533,8.921087265014648
linreg_slope_20,30.666666666666668,0.006407157141698749,0.03616749575128031,7.241612911224365
linreg_slope_50,31.333333333333332,0.0014074689102919534,0.03767978113777559,10.39023494720459
rsi_14,31.666666666666668,0.006600139735730433,0.03244654978189976,7.309497356414795
session,32.666666666666664,0.013319635347683599,0.0003655925562031648,9.447564125061035
higher_highs_10,33.333333333333336,0.017499367651197455,0.0259548969848713,6.061648845672607
roc_10,33.333333333333336,0.004892930408439453,0.03327866421541703,7.171812534332275
donchian_20_pos,33.666666666666664,0.01052851170145662,0.03148368047914207,6.649415493011475
stoch_d_5,34.333333333333336,0.013826543729345338,0.032174779481989546,4.741739749908447
stoch_d_14,34.333333333333336,0.013109330433438876,0.032099284120061355,5.519721984863281
rsi_14_roc,34.666666666666664,0.011564472164011743,0.03188447283138052,5.626972675323486
dist_from_20_low,34.666666666666664,0.010968366615322226,0.03160205504586955,6.13795280456543
adx_roc,35.333333333333336,0.016033043338950052,0.02904175122034225,5.576643466949463
volume_ratio,35.666666666666664,0.010747669558658223,0.03248026781930946,5.6060638427734375
stoch_k_5,37.666666666666664,0.013129051780404266,0.02670530247966374,5.9352216720581055
higher_highs_20,37.666666666666664,0.009225927954626125,0.029651780989194076,6.580653190612793
ema_fan,38.333333333333336,0.0026695819282911396,0.014681721375642276,20.60732650756836
dist_from_20_high,39.666666666666664,0.01007131386567034,0.030744720536456605,5.773840427398682
rsi_21_roc,40.0,0.011828373983406927,0.029768356195083445,5.296646595001221
range_vs_avg,41.0,0.004704099698638773,0.09524244879732935,3.7579309940338135
minus_di_14,42.0,0.0008224138100212062,0.08524004116234352,6.021934509277344
trend_strength,42.666666666666664,0.00034512567010397746,0.01656090736497351,17.60384750366211
day_of_week,44.0,0.00405105536774955,0.025121188635686575,6.684094429016113
lower_lows_20,44.666666666666664,0.002295753354445832,0.030312918585357895,6.492010116577148
linreg_r2_10,45.0,0.007951166693757748,0.029920988738622256,4.757750988006592
linreg_r2_20,45.0,0.003791686334022058,0.03110965508315866,5.9127936363220215
linreg_slope_10,46.333333333333336,0.0005080270321357271,0.03649243437825156,5.6150994300842285
rsi_7_roc,47.0,0.009675932055980016,0.0278879679615196,4.5608954429626465
bb_squeeze,47.333333333333336,0.0023128670282690344,0.0033513769892818956,8.649401664733887
ha_trend,47.666666666666664,0.005713838584640006,0.009571182700675696,6.169456958770752
obv_slope,47.666666666666664,0.004012251175440855,0.03134177025780227,5.185023307800293
hour,50.0,0.0020476799999742247,0.0015045721776032472,8.532205581665039
minute,50.333333333333336,0.00127863188073431,0.0,9.290870666503906
candle_dir,55.333333333333336,0.003782252943450781,0.027120982526904314,3.1475813388824463
consecutive_dir,55.666666666666664,0.002956631816875328,0.024844314298187786,4.269038677215576
lower_lows_10,56.0,0.001280108613167004,0.020016192736533434,5.625229835510254
volume_roc,57.0,0.0025349867867416683,0.016499848609416112,4.586378574371338
vol_mom_confirm,60.666666666666664,0.004338022989832861,0.0011432047829771363,3.0433411598205566
engulfing,62.0,0.0021409050053127535,0.003147582789773118,4.346517562866211
pin_bar,62.333333333333336,0.00270440268737757,0.0033370667919361274,2.1816630363464355
upper_wick,62.333333333333336,0.0017601623242405634,0.00505148074416617,3.7716786861419678
body_ratio,62.666666666666664,0.00024075896152621427,0.023738345528386606,3.574882745742798
lower_wick,63.333333333333336,0.0015497289021805247,0.008337709356461165,3.0653281211853027
doji,65.33333333333333,0.0024443484206228866,0.0002631967055664042,1.6952664852142334
