time,open,high,low,close,tick_volume,spread,real_volume,source,timeframe,volume,timestamp,symbol,timestamp_utc,bot,account,symbol_root,source_file,source_size_bytes,source_priority,non_null_count,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
,67591.76,67687.74,67591.62,67658.99,,22.0,,viper,M5,,2026-03-30T09:12:03.712564+00:00,BTCUSD,2026-03-30 09:12:03.712564+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67658.99,,,,53.83185370109239,,,,,,,,,,,,,,67640.9103307942,,,,,,,BUY,,,,,36.67,pullback_structure_not_confirmed;momentum_volume_low
,67591.76,67687.74,67591.62,67656.67,,22.0,,viper,M5,,2026-03-30T09:12:14.760260+00:00,BTCUSD,2026-03-30 09:12:14.760260+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67656.67,,,,53.67410781448026,,,,,,,,,,,,,,67640.68937841326,,,,,,,BUY,,,,,36.67,pullback_structure_not_confirmed;momentum_volume_low
,67591.76,67687.74,67591.62,67657.17,,22.0,,viper,M5,,2026-03-30T09:12:25.938472+00:00,BTCUSD,2026-03-30 09:12:25.938472+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67657.17,,,,53.70819583107004,,,,,,,,,,,,,,67640.73699746087,,,,,,,BUY,,,,,36.67,pullback_structure_not_confirmed;momentum_volume_low
,67591.76,67687.74,67591.62,67636.74,,22.0,,viper,M5,,2026-03-30T09:12:36.992530+00:00,BTCUSD,2026-03-30 09:12:36.992530+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67636.74,,,,52.27324094697217,,,,,,,,,,,,,,67638.79128317516,,,,,,,BUY,,,,,36.67,pullback_structure_not_confirmed;momentum_volume_low
,67591.76,67687.74,67591.62,67628.92,,22.0,,viper,M5,,2026-03-30T09:12:48.163988+00:00,BTCUSD,2026-03-30 09:12:48.163988+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67628.92,,,,51.70015699769212,,,,,,,,,,,,,,67638.0465212704,,,,,,,BUY,,,,,36.67,pullback_weak_candle;momentum_volume_low
,67591.76,67687.74,67591.62,67619.32,,22.0,,viper,M5,,2026-03-30T09:12:59.253858+00:00,BTCUSD,2026-03-30 09:12:59.253858+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67619.32,,,,50.97752698135278,,,,,,,,,,,,,,67637.13223555611,,,,,,,BUY,,,,,36.67,pullback_weak_candle;momentum_volume_low
,67591.76,67687.74,67591.62,67616.55,,22.0,,viper,M5,,2026-03-30T09:13:10.284846+00:00,BTCUSD,2026-03-30 09:13:10.284846+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67616.55,,,,50.76498098728536,,,,,,,,,,,,,,67636.8684260323,,,,,,,BUY,,,,,36.67,pullback_weak_candle;momentum_volume_low
,67591.76,67687.74,67591.62,67601.95,,22.0,,viper,M5,,2026-03-30T09:13:21.367394+00:00,BTCUSD,2026-03-30 09:13:21.367394+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67601.95,,,,49.61353197654278,,,,,,,,,,,,,,67635.47794984182,,,,,,,BUY,,,,,36.67,pullback_weak_candle;momentum_volume_low
,67591.76,67687.74,67591.62,67602.0,,22.0,,viper,M5,,2026-03-30T09:13:32.608574+00:00,BTCUSD,2026-03-30 09:13:32.608574+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67602.0,,,,49.617567193444586,,,,,,,,,,,,,,67635.48271174659,,,,,,,BUY,,,,,36.67,pullback_weak_candle;momentum_volume_low
,67591.76,67687.74,67591.62,67602.4,,22.0,,viper,M5,,2026-03-30T09:13:43.650050+00:00,BTCUSD,2026-03-30 09:13:43.650050+00:00,viper,144388,BTCUSD,C:\Users\Administrator\.openclaw\workspace\pro_modules\ml_data\viper\viper_signals_2026-03-30.csv,3416502,0,32,HOLD,HOLD,NONE,0.0,105.42084079370582,0.0,,,,,,,,,,,,,,,,22.0,67591.76,67687.74,67591.62,67602.4,,,,49.64982567591369,,,,,,,,,,,,,,67635.52080698468,,,,,,,BUY,,,,,36.67,pullback_weak_candle;momentum_volume_low
