timestamp,symbol,bot,account,timeframe,signal,signal_type,trigger,confidence,atr,executed,entry_price,sl_price,sl,tp_price,tp,volume_lots,ticket,exit_price,exit_reason,profit,pnl,outcome,duration_minutes,account_balance,account_equity,spread,spread_points,bar_open,bar_high,bar_low,bar_close,ema_fast,ema_slow,ema_separation,rsi,n_bar_high,n_bar_low,conditions_met,ema_50,nearest_sr_level,sr_distance_atr,pattern_type,pin_wick_size,pin_body_ratio,engulf_size_atr,inside_bar_vol_ratio,pattern_detected,sr_nearby,ema_20,momentum_fast_ema,momentum_slow_ema,breakout_high,breakout_low,pullback_distance_atr,volume_ratio,h1_trend,bb_upper,bb_lower,bb_mid,price_position_in_bb,adx,hold_reason
2026-03-17T00:00:41.246693+00:00,BTCUSD,cobra,26551110,H1,BUY,BUY,PIN_BAR,0.8,589.132759931854,0,,,,,,,,,,,,,,,,17.1,17.1,74875.69,74877.01,74663.98,74663.98,,,,,,,,72891.873000508,74242.64,0.0,BULLISH_PIN,513.8500000000058,4.308653362401714,,,BULLISH_PIN,True,,,,,,,,,,,,,,
2026-03-17T00:01:44.394669+00:00,BTCUSD,cobra,26551110,H1,BUY,BUY,PIN_BAR,0.8,593.2141885032826,0,,,,,,,,,,,,,,,,16.99,16.99,74875.69,74877.01,74606.84,74701.11,,,,,,,,72891.873000508,74242.64,0.0,BULLISH_PIN,513.8500000000058,4.308653362401714,,,BULLISH_PIN,True,,,,,,,,,,,,,,
2026-03-17T00:01:46.211441+00:00,USDJPY.s,cobra,26551110,H1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.18799294409160755,0,,,,,,,,,,,,,,,,0.024,0.024,159.124,159.165,159.111,159.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_pattern_at_sr
2026-03-17T00:01:46.212803+00:00,EURUSD.s,cobra,26551110,H1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,0.0014711398010601815,0,,,,,,,,,,,,,,,,0.00018,0.00018,1.14974,1.1497600000000001,1.14943,1.1495199999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_pattern_at_sr
2026-03-17T00:01:46.214020+00:00,XAUUSD.s,cobra,26551110,H1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,22.1357861961732,0,,,,,,,,,,,,,,,,0.34,0.34,5012.8,5013.99,5011.46,5013.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_pattern_at_sr
2026-03-17T00:01:46.215171+00:00,USOUSD.s,cobra,26551110,H1,OUTSIDE_HOURS,OUTSIDE_HOURS,NONE,0,1.566796493576244,0,,,,,,,,,,,,,,,,0.079,0.079,94.886,95.296,94.846,95.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_pattern_at_sr
2026-03-17T00:02:46.971539+00:00,BTCUSD,cobra,26551110,H1,BUY,BUY,PIN_BAR,0.8,593.2141885032826,0,,,,,,,,,,,,,,,,17.09,17.09,74875.69,74877.01,74606.84,74696.94,,,,,,,,72891.873000508,74242.64,0.0,BULLISH_PIN,513.8500000000058,4.308653362401714,,,BULLISH_PIN,True,,,,,,,,,,,,,,
2026-03-17T00:03:49.227761+00:00,BTCUSD,cobra,26551110,H1,BUY,BUY,PIN_BAR,0.8,593.2141885032826,0,,,,,,,,,,,,,,,,16.98,16.98,74875.69,74877.01,74606.84,74784.77,,,,,,,,72891.873000508,74242.64,0.0,BULLISH_PIN,513.8500000000058,4.308653362401714,,,BULLISH_PIN,True,,,,,,,,,,,,,,
2026-03-17T00:04:51.499262+00:00,BTCUSD,cobra,26551110,H1,BUY,BUY,PIN_BAR,0.8,593.2141885032826,0,,,,,,,,,,,,,,,,17.0,17.0,74875.69,74877.01,74606.84,74681.22,,,,,,,,72891.873000508,74242.64,0.0,BULLISH_PIN,513.8500000000058,4.308653362401714,,,BULLISH_PIN,True,,,,,,,,,,,,,,
2026-03-17T00:05:53.699413+00:00,BTCUSD,cobra,26551110,H1,BUY,BUY,PIN_BAR,0.8,593.2141885032826,0,,,,,,,,,,,,,,,,17.01,17.01,74875.69,74877.01,74606.84,74772.62,,,,,,,,72891.873000508,74242.64,0.0,BULLISH_PIN,513.8500000000058,4.308653362401714,,,BULLISH_PIN,True,,,,,,,,,,,,,,
