timestamp,symbol,direction,entry,sl,tp,pnl,outcome,close,ema8,ema20,ema50,rsi,atr,adx,volume_ratio,ema8_ema20_diff,close_ema20_diff,h1_trend,spread,bar_range,bar_body
2026-03-25T09:40:30.529048+00:00,GBPJPY.i,SELL,212.774,212.885,212.442,-1864.96,LOSS,212.869,212.865752,212.909771,212.900939,46.65,0.088075,16.65,0.13,-0.4998,-0.4629,BOTH,17,0.5904,0.5223
2026-03-25T11:14:25.562321+00:00,GBPJPY.i,BUY,213.056,212.962,213.337,131.49,WIN,213.066,213.064314,213.01266,212.95779,56.74,0.070196,36.29,0.65,0.7358,0.7599,BUY,18,0.8975,0.7978
2026-03-25T11:58:07.665286+00:00,GBPJPY.i,BUY,213.16,213.08,213.4,-1796.05,LOSS,213.075,213.103201,213.06798,213.002243,52.47,0.069497,28.49,0.73,0.5068,0.101,BUY,14,1.295,1.2375
2026-03-25T13:21:15.474285+00:00,GBPJPY.i,SELL,212.905,213.005,212.606,-1720.3,LOSS,212.987,212.969808,213.005295,213.004066,47.68,0.08187,18.54,0.21,-0.4335,-0.2235,BUY,19,0.5985,0.5863
2026-03-26T08:34:15.810654+00:00,GBPJPY.i,SELL,212.816,212.905,212.548,-33.7,LOSS,212.801,212.826201,212.869278,212.928389,41.8,0.081861,42.57,1.14,-0.5262,-0.8341,SELL,15,1.246,0.8185
2026-03-26T11:54:25.657287+00:00,GBPJPY.i,SELL,212.891,212.971,212.651,113.1,WIN,212.865,212.888039,212.925496,212.935894,43.58,0.066707,46.16,0.78,-0.5615,-0.9069,SELL,18,1.1843,1.0494
2026-03-26T13:59:04.433845+00:00,GBPJPY.i,BUY,212.979,212.889,213.249,1467.3,WIN,213.065,213.046972,212.968196,212.926467,63.32,0.06901,45.38,1.43,1.1415,1.4027,BUY,15,0.739,0.5217
2026-03-26T15:57:30.666630+00:00,GBPJPY.i,SELL,212.996,213.102,212.679,-1597.31,LOSS,213.093,213.078132,213.100892,213.054094,50.0,0.088633,18.87,0.74,-0.2568,-0.089,BUY,15,1.1508,0.6882
2026-03-26T17:32:56.380059+00:00,GBPJPY.i,SELL,212.962,213.064,212.657,-1607.56,LOSS,213.055,213.010427,213.017374,213.027504,53.53,0.070486,2.53,0.51,-0.0986,0.5338,BOTH,15,0.837,0.61
2026-03-26T20:11:47.636838+00:00,GBPJPY.i,SELL,212.842,212.922,212.602,214.11,WIN,212.892,212.825272,212.850511,212.903831,53.32,0.056234,8.36,0.2,-0.4488,0.7378,BOTH,47,2.2762,2.2406
2026-03-27T07:40:48.575212+00:00,GBPJPY.i,BUY,213.081,212.997,213.317,-1453.69,LOSS,212.99,213.010405,212.994907,212.960847,50.5,0.057443,21.36,0.23,0.2698,-0.0854,BOTH,13,0.7312,0.6789
2026-03-27T09:51:28.113373+00:00,GBPJPY.i,SELL,212.749,212.831,212.504,365.8,WIN,212.71,212.735604,212.796323,212.864294,36.82,0.070894,64.94,0.27,-0.8565,-1.2176,SELL,18,1.072,0.7758
2026-03-27T15:40:05.866095+00:00,GBPJPY.i,BUY,212.955,212.86,213.241,-1432.45,LOSS,212.86,212.879333,212.82083,212.719273,58.29,0.075979,28.11,0.01,0.77,0.5155,BUY,19,0.2237,0.2106
2026-03-27T16:01:43.687725+00:00,GBPJPY.i,SELL,212.825,212.941,212.478,-1506.91,LOSS,212.993,212.885986,212.840002,212.74229,65.74,0.104044,15.71,0.55,0.442,1.4705,BUY,13,1.682,1.1341
2026-03-27T16:50:28.561383+00:00,GBPJPY.i,SELL,212.733,212.848,212.387,121.49,WIN,212.701,212.713318,212.759498,212.734994,44.55,0.090843,35.56,0.1,-0.5083,-0.6439,BOTH,16,0.2642,0.0771
2026-03-27T17:24:40.148663+00:00,GBPJPY.i,SELL,212.666,212.766,212.366,-1410.62,LOSS,212.757,212.69242,212.72065,212.720595,52.67,0.088163,14.21,0.71,-0.3202,0.4123,BOTH,18,1.191,0.8167
