timestamp,symbol,direction,entry,sl,tp,pnl,outcome,close,ema8,ema20,ema50,rsi,atr,adx,volume_ratio,ema8_ema20_diff,close_ema20_diff,h1_trend,spread,bar_range,bar_body
2026-03-25T14:25:20.508710+00:00,USOUSD,BUY,89.504,88.971,91.102,-1750.32,LOSS,89.162,89.198968,88.946032,88.680198,56.4,0.469403,23.76,0.23,0.5388,0.4601,BOTH,52,1.4486,0.7669
2026-03-26T16:55:40.775841+00:00,USOUSD,BUY,95.661,95.161,97.161,-1475.88,LOSS,95.169,95.274592,95.092478,94.732536,54.7,0.326419,12.64,0.13,0.5579,0.2344,BUY,42,0.3064,0.2451
2026-03-26T18:01:15.257032+00:00,USOUSD,BUY,95.481,94.981,96.981,512.64,WIN,95.629,95.692506,95.503373,95.097221,56.31,0.282931,32.6,0.24,0.6685,0.444,BUY,32,0.8483,0.6715
2026-03-27T15:05:34.541245+00:00,USOUSD,BUY,98.358,97.858,99.858,103.74,WIN,98.406,98.508117,98.271073,97.767225,55.7,0.332644,22.81,0.1,0.7126,0.4056,BUY,32,0.3307,0.3006
2026-03-31T15:13:51.011694+00:00,USOUSD,BUY,104.566,103.915,106.52,93.6,WIN,104.594,104.384779,103.94603,103.76925,60.99,0.51762,23.08,0.94,0.8476,1.2518,BUY,32,0.8307,0.5989
2026-03-31T16:38:43.522497+00:00,USOUSD,BUY,105.296,104.734,106.981,-1320.7,LOSS,104.734,105.000267,104.770273,104.332314,51.97,0.461927,7.5,0.77,0.4979,-0.0785,BUY,32,1.6453,1.1257
2026-03-31T18:24:42.780621+00:00,USOUSD,SELL,102.354,103.454,99.054,80.92,WIN,102.264,102.17341,102.382157,102.980213,47.19,0.797123,28.99,0.96,-0.2619,-0.1482,SELL,32,0.6398,0.5771
2026-03-31T20:43:17.760787+00:00,USOUSD,SELL,102.344,102.9,100.675,715.04,WIN,102.074,102.061349,102.25655,102.556577,45.63,0.43563,55.09,0.49,-0.4481,-0.419,SELL,52,2.2267,1.0789
2026-04-01T14:40:22.576181+00:00,USOUSD,SELL,99.231,99.973,97.005,-1328.18,LOSS,99.851,99.491839,99.645172,99.827399,51.98,0.649,22.24,0.18,-0.2363,0.3171,SELL,72,1.1402,0.9245
2026-04-01T16:31:25.547020+00:00,USOUSD,BUY,100.993,100.432,102.677,-1242.02,LOSS,100.431,100.547472,100.307647,100.0758,53.71,0.43523,15.55,0.16,0.551,0.2834,BOTH,42,0.3676,0.2298
2026-04-01T19:54:18.644707+00:00,USOUSD,SELL,99.611,100.111,98.111,-1184.72,LOSS,100.081,99.940317,100.042771,100.065622,50.44,0.308741,15.24,0.7,-0.3318,0.1238,SELL,42,0.9069,0.8421
