timestamp,symbol,direction,entry,sl,tp,pnl,outcome,close,ema8,ema20,ema50,rsi,atr,adx,volume_ratio,ema8_ema20_diff,close_ema20_diff,h1_trend,spread,bar_range,bar_body
2026-03-25T11:47:43.242909+00:00,USDJPY.i,SELL,158.852,158.918,158.654,-1686.39,LOSS,158.924,158.875416,158.883593,158.896016,54.84,0.047759,0.11,0.48,-0.1712,0.8461,BUY,5,2.0939,1.8635
2026-03-25T14:32:09.830539+00:00,USDJPY.i,BUY,159.166,159.07,159.453,-1678.16,LOSS,159.063,159.114913,159.077554,159.008267,50.72,0.067697,27.08,0.65,0.5519,-0.215,BUY,1,0.8568,0.8124
2026-03-26T07:18:15.053979+00:00,USDJPY.i,SELL,159.337,159.399,159.151,-1451.21,LOSS,159.392,159.374959,159.402008,159.423231,47.14,0.042467,20.04,0.73,-0.6369,-0.2357,BUY,2,1.0832,0.9655
2026-03-26T10:16:01.440107+00:00,USDJPY.i,BUY,159.524,159.472,159.68,-1304.3,LOSS,159.468,159.495355,159.487474,159.468578,47.28,0.03683,6.19,0.22,0.214,-0.5288,BUY,1,0.6788,0.6788
2026-03-26T12:06:42.491544+00:00,USDJPY.i,BUY,159.563,159.511,159.719,2054.56,WIN,159.635,159.623363,159.574609,159.523244,64.05,0.037233,54.26,0.4,1.3094,1.622,BUY,2,1.2623,1.1012
2026-03-26T14:42:51.801994+00:00,USDJPY.i,SELL,159.472,159.558,159.215,-1571.42,LOSS,159.545,159.523404,159.548003,159.55328,48.89,0.061865,6.73,1.39,-0.3976,-0.0485,BUY,5,1.972,1.277
2026-03-26T19:36:16.504815+00:00,USDJPY.i,BUY,159.778,159.73,159.921,300.39,WIN,159.79,159.794892,159.771572,159.718765,56.78,0.028893,33.94,0.19,0.8071,0.6378,BUY,1,0.6922,0.4153
2026-03-27T14:28:59.103103+00:00,USDJPY.i,SELL,159.797,159.871,159.575,-1354.37,LOSS,159.87,159.855772,159.868339,159.864987,49.99,0.050532,31.09,0.93,-0.2487,0.0329,BUY,1,1.029,0.8509
2026-03-27T15:37:59.602943+00:00,USDJPY.i,SELL,159.816,159.901,159.562,592.79,WIN,159.768,159.828029,159.856108,159.863659,36.43,0.059408,59.47,0.86,-0.4726,-1.4831,BOTH,3,0.8248,0.1852
2026-03-27T17:07:00.557929+00:00,USDJPY.i,BUY,160.116,160.014,160.422,339.39,WIN,160.117,160.124916,160.067994,159.982514,58.75,0.06898,50.79,0.44,0.8252,0.7104,BUY,4,1.6381,0.9278
2026-03-30T08:55:01.356240+00:00,USDJPY.i,SELL,159.618,159.703,159.363,-1463.65,LOSS,159.698,159.702468,159.71745,159.740408,47.48,0.057575,33.17,0.0,-0.2602,-0.3378,SELL,4,0.0,0.0
2026-03-30T09:40:17.927063+00:00,USDJPY.i,SELL,159.662,159.753,159.39,16.24,WIN,159.659,159.654587,159.678113,159.713693,47.1,0.062227,30.97,0.08,-0.3781,-0.3071,SELL,2,0.6749,0.6107
2026-03-30T11:27:14.784912+00:00,USDJPY.i,SELL,159.584,159.66,159.356,1679.61,WIN,159.483,159.529626,159.564095,159.624422,36.37,0.05526,46.82,0.63,-0.6238,-1.4675,SELL,7,2.1897,0.6515
2026-03-30T12:15:59.323767+00:00,USDJPY.i,SELL,159.468,159.552,159.216,-1602.84,LOSS,159.555,159.505165,159.523406,159.583134,52.14,0.055194,3.82,0.18,-0.3305,0.5724,SELL,6,1.232,1.1414
2026-03-30T16:30:17.916750+00:00,USDJPY.i,SELL,159.414,159.497,159.166,-1435.68,LOSS,159.505,159.477543,159.492877,159.509535,51.15,0.047799,13.32,0.12,-0.3208,0.2536,SELL,1,0.8787,0.8787
2026-03-31T08:53:00.606040+00:00,USDJPY.i,SELL,159.637,159.713,159.409,820.41,WIN,159.589,159.609224,159.635647,159.652251,43.08,0.047853,43.78,0.77,-0.5522,-0.9748,SELL,2,1.3792,0.5224
2026-03-31T11:17:03.023023+00:00,USDJPY.i,BUY,159.751,159.68,159.964,-1271.39,LOSS,159.678,159.715442,159.695274,159.669897,48.83,0.051508,36.51,0.89,0.3916,-0.3354,BOTH,1,1.6114,1.1454
2026-03-31T13:04:54.729317+00:00,USDJPY.i,SELL,159.512,159.605,159.233,1074.26,WIN,159.434,159.402789,159.454915,159.537483,44.58,0.065097,27.03,0.83,-0.8007,-0.3213,SELL,1,1.1675,1.0292
2026-03-31T15:22:10.207223+00:00,USDJPY.i,SELL,159.089,159.226,158.678,790.94,WIN,159.017,159.039809,159.125252,159.268527,39.32,0.089465,32.38,0.57,-0.955,-1.21,SELL,1,1.2631,1.2631
2026-03-31T16:46:22.317376+00:00,USDJPY.i,SELL,158.852,158.985,158.453,-1324.95,LOSS,158.991,159.05074,159.075953,159.167755,42.32,0.090369,37.83,0.46,-0.279,-0.9401,SELL,8,1.1619,0.841
2026-03-31T19:08:48.003503+00:00,USDJPY.i,SELL,158.853,158.987,158.452,-1311.34,LOSS,158.991,158.899056,158.891104,158.968048,58.25,0.074731,16.09,0.5,0.1064,1.3368,SELL,1,1.017,1.017
2026-04-01T07:48:45.406533+00:00,USDJPY.i,SELL,158.43,158.533,158.12,-1281.58,LOSS,158.531,158.424916,158.454698,158.569667,54.46,0.079947,4.44,1.17,-0.3725,0.9544,SELL,5,2.2515,1.6261
2026-04-01T12:08:56.692250+00:00,USDJPY.i,SELL,158.474,158.564,158.205,1151.56,WIN,158.394,158.409359,158.4764,158.541009,36.84,0.057463,43.04,0.73,-1.1667,-1.434,SELL,1,1.2182,0.8179
2026-04-01T20:06:55.792548+00:00,USDJPY.i,BUY,158.934,158.871,159.124,-1112.32,LOSS,158.872,158.887417,158.85523,158.76581,57.88,0.040487,29.88,0.22,0.795,0.4142,BUY,2,0.6422,0.5434
2026-04-02T07:26:27.255518+00:00,USDJPY.i,BUY,159.408,159.327,159.651,3534.25,WIN,159.651,159.537618,159.463394,159.376609,70.34,0.06371,59.41,0.67,1.165,2.9447,BUY,1,1.397,1.3813
2026-04-02T07:26:30.896449+00:00,USDJPY.i,BUY,159.406,159.325,159.649,3572.54,WIN,159.645,159.536285,159.462822,159.376374,70.01,0.064067,59.94,0.71,1.1467,2.8435,BUY,1,1.4672,1.2799
2026-04-02T08:13:46.335842+00:00,USDJPY.i,BUY,159.577,159.484,159.855,14.0,WIN,159.576,159.596013,159.549877,159.447969,55.28,0.06127,33.73,0.58,0.753,0.4264,BUY,5,0.7834,0.6528
2026-04-02T09:22:08.525421+00:00,USDJPY.i,BUY,159.59,159.505,159.844,1124.3,WIN,159.663,159.682284,159.643953,159.542643,56.23,0.050223,32.72,0.38,0.7632,0.3792,BUY,2,1.1548,1.0951
2026-04-02T15:20:40.349149+00:00,USDJPY.i,SELL,159.344,159.452,159.02,89.52,WIN,159.342,159.320578,159.385656,159.486452,42.52,0.072638,29.75,0.18,-0.8959,-0.601,BOTH,3,0.6746,0.6608
2026-04-02T19:05:42.620391+00:00,USDJPY.i,BUY,159.617,159.553,159.809,-1055.66,LOSS,159.551,159.606038,159.59521,159.543085,46.18,0.045192,8.25,0.15,0.2396,-0.9783,BUY,4,0.7302,0.7302
2026-04-03T17:53:01.924387+00:00,USDJPY.i,BUY,159.619,159.584,159.724,427.91,WIN,159.637,159.640174,159.634424,159.615441,55.29,0.010775,25.02,0.32,0.5336,0.239,BUY,1,0.7425,0.3712
2026-04-03T18:59:50.108182+00:00,USDJPY.i,BUY,159.646,159.626,159.706,125.27,WIN,159.649,159.639605,159.636886,159.62429,62.95,0.010694,62.26,0.86,0.2542,1.1327,BUY,8,2.8052,1.1221
2026-04-03T19:45:52.388176+00:00,USDJPY.i,BUY,159.657,159.637,159.717,-501.14,LOSS,159.637,159.647018,159.644165,159.632281,45.83,0.011029,2.6,0.13,0.2587,-0.6497,BUY,5,1.2694,1.2694
