asset,strategy,trades,win_rate,avg_r,total_r,profit_factor,max_drawdown_r,avg_bars_held
BTC,stoch_reversal,8187,0.5249786246488335,0.04810674929281662,393.84995646028966,1.1073144396502475,-39.762966851274655,2.8090875778673507
BTC,bb_rsi_combo,3270,0.5103975535168196,0.02146222907389108,70.18148907162383,1.0466223787300004,-40.09051697520988,2.8238532110091743
BTC,cci_reversal,9303,0.5069332473395679,0.01323247688506958,123.1017324618023,1.0287443307523956,-60.49049008797817,2.9015371385574547
BTC,rsi_reversal_30_70,2164,0.506007393715342,0.005820905442059382,12.596439376616502,1.012765221360889,-90.05434727787359,2.979205175600739
BTC,bollinger_reversion,5662,0.503885552808195,0.012528595540394833,70.93690794971555,1.0270912429144943,-58.385559914418636,2.8557046979865772
BTC,williams_reversal,12493,0.49547746738173376,-0.00890902444824122,-111.30044243187756,0.9811167735951277,-203.67874779498322,2.880973345073241
BTC,macd_cross,6957,0.48742273968664657,-0.026751022919824268,-186.10686645321744,0.9445163887163662,-227.00272907460638,2.816443869483973
BTC,ema_cross_3_8,9005,0.4833981121599112,-0.03843061977043416,-346.0677310327596,0.9209190858341765,-355.06189537522164,2.882398667406996
BTC,ema_trend_pullback,952,0.4810924369747899,-0.028662559600900056,-27.286756740056852,0.9398685318499944,-44.98579074812075,2.966386554621849
BTC,macd_ema_confirm,3046,0.46913985554826,-0.05915391211638953,-180.1828163065225,0.8822681555282605,-204.88881839733355,2.675640183847669
BTC,ema_cross_8_20,4565,0.46637458926615555,-0.06371068771957948,-290.8392894398803,0.871843405729413,-316.7846044759894,2.8757940854326396
BTC,donchian_breakout_20,7081,0.45233724050275387,-0.09492070781622253,-672.1335320466717,0.8193823833277517,-673.7196938933694,2.504024855246434
